,isco_level_1,isco_label_1,share_green_gtp_mean,n_occ_esco_sum,share_green_esco_mean,share_brown_esco_mean,share_neutral_esco_mean,isco_code,isco_level_2,isco_label_2,isco_level_3,isco_label_3,isco_level_4,isco_label_4
171,,,0.0,12.0,0.02386205024813896,0.02527750404788448,0.9508604457039765,933,,,933,Transport and storage labourers,,
172,,,0.0,4.0,0.06928379416282643,0.0,0.9307162058371735,941,,,941,Food preparation assistants,,
173,,,0.0,1.0,0.0,0.0,1.0,951,,,951,Street and related service workers,,
174,,,0.0,1.0,0.0,0.0,1.0,952,,,952,Street vendors (excluding food),,
175,,,1.0,4.0,0.4634615384615385,0.0,0.5365384615384615,961,,,961,Refuse workers,,
176,,,0.0,12.0,0.026593273875882572,0.006410256410256411,0.966996469713861,962,,,962,Other elementary workers,,
177,,,0.0,12.0,0.002976190476190476,0.0,0.9970238095238096,0110,,,,,0110,Commissioned armed forces officers
178,,,0.0,4.0,0.0,0.0,1.0,0210,,,,,0210,Non-commissioned armed forces officers
179,,,0.0,5.0,0.004545454545454545,0.006896551724137931,0.9885579937304076,0310,,,,,0310,"Armed forces occupations, other ranks"
180,,,0.0,7.0,0.0,0.0,1.0,1111,,,,,1111,Legislators
181,,,0.0,9.0,0.004273504273504274,0.0,0.9957264957264957,1112,,,,,1112,Senior government officials
182,,,0.0,1.0,0.0,0.0,1.0,1114,,,,,1114,Senior officials of special-interest organisations
183,,,0.1176470588235294,8.0,0.03718678984320595,0.0,0.9628132101567941,1120,,,,,1120,Managing directors and chief executives
184,,,0.0,5.0,0.016970733116310296,0.0,0.9830292668836897,1211,,,,,1211,Finance managers
185,,,0.0,4.0,0.03775094210346009,0.0,0.9622490578965399,1212,,,,,1212,Human resource managers
186,,,0.15285603385670998,7.0,0.05130228985817883,0.0,0.9486977101418211,1213,,,,,1213,Policy and planning managers
187,,,1.0,14.0,0.0750471890931075,0.01874601638752582,0.9062067945193667,1219,,,,,1219,Business services and administration managers not elsewhere classified
188,,,0.20000000000000004,14.0,0.02899199326635529,0.0,0.9710080067336447,1221,,,,,1221,Sales and marketing managers
189,,,0.0,3.0,0.015897610148374677,0.0,0.9841023898516253,1222,,,,,1222,Advertising and public relations managers
