EF541,n_obs,EF952_sum,share_green_wtd,share_green_unwtd,share_brown_wtd,share_brown_unwtd,share_neutral_wtd,share_neutral_unwtd,share_green_cat_abs_wtd,share_green_cat_abs_unwtd,share_brown_cat_abs_wtd,share_brown_cat_abs_unwtd,share_neutral_cat_abs_wtd,share_neutral_cat_abs_unwtd,share_green_cat_rel_wtd,share_green_cat_rel_unwtd,share_brown_cat_rel_wtd,share_brown_cat_rel_unwtd,share_neutral_cat_rel_wtd,share_neutral_cat_rel_unwtd
3143,113,11668.038,0.406703823,0.408554572,0,0,0.593296177,0.591445428,0.440222941,0.451327434,0,0,0.559777059,0.548672566,1,1,0,0,0,0
3151,35,4120.295,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3152,127,14567.598,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3153,159,17361.176,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3154,41,4210.899,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3211,233,25431.136,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3212,762,82732.759,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3213,748,80920.444,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3214,776,84329.943,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3221,12967,1428280.148,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3222,16,1640.233,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3240,239,26147.599,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3251,2045,223978.112,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3252,173,18993.414,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3253,62,6474.487,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3254,364,39846.83,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3255,628,68709.359,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3256,4104,447204.001,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
